Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Engineering CMD1,Engineering CMD1",Settings.EngineeringCMD1.EngineeringCMD1,TB4.P0B11,Device Name,,,ro,string,40,,,
"Settings,Engineering CMD2,Engineering CMD3",Settings.EngineeringCMD2.EngineeringCMD3,T02.P0AEC,Sub Information,,,rw,binary,40,,,
"Settings,Engineering CMD2,Engineering CMD3",Settings.EngineeringCMD2.EngineeringCMD3,T02.P0BE0,OP IP address,,,rw,ipv4,4,,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0430,Amplifier Module 1 Channel 1 UL Center Frequency,MHz,,ro,uint32,4,1000,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0431,Amplifier Module 1 Channel 1 DL Center Frequency,MHz,,ro,uint32,4,1000,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0434,Amplifier Module 1 Channel 1 Digital Signal Bandwidth Select,MHz,,rw,uint8,1,,,0=custom;100=100MHz;10=10MHz;15=15MHz;20=20MHz;25=25MHz;30=30MHz;40=40MHz;50=50MHz;5=5MHz;60=60MHz;70=70MHz;80=80MHz;90=90MHz
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0432,Amplifier Module 1 Channel 1 Digital Signal Bandwidth Custom,MHz,,ro,uint32,4,1000,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P00FE,Amplifier Module 1 Channel 1 Carrier Signal Switch,,,rw,uint8,1,,,0=Off;1=On
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0435,Amplifier Module 1 Channel 1 Carrier UL Attenuation,dB,,rw,int16,2,10,0 ~ 150,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0436,Amplifier Module 1 Channel 1 Carrier DL Attenuation,dB,,rw,int16,2,10,0 ~ 150,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0500,Amplifier Module 1 Channel 1 Carrier UL Power,dBm,,ro,int16,2,10,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0502,Amplifier Module 1 Channel 1 Carrier DL Power,dBm,,ro,int16,2,10,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P0872,Amplifier Module 1 Channel 1 Label (Operator/Service),,,ro,string,20,,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P08A1,Amplifier Module 1 Channel 1 Technology,,,ro,string,20,,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P08D0,Amplifier Module 1 Channel 1 Name,,,ro,string,20,,,
"Carrier Config,Amplifier1 Configuration,Channel 1 Configuration",CarrierConfig.Amplifier1Configuration.Channel1Configuration,T02.P08E0,Amplifier Module 1 Channel 1 Band,,,ro,string,20,,,
"Carrier Config,Amplifier1 Configuration,Channel 2 Configuration",CarrierConfig.Amplifier1Configuration.Channel2Configuration,T02.P0438,Amplifier Module 1 Channel 2 UL Center Frequency,MHz,,ro,uint32,4,1000,,
"Carrier Config,Amplifier1 Configuration,Channel 2 Configuration",CarrierConfig.Amplifier1Configuration.Channel2Configuration,T02.P0439,Amplifier Module 1 Channel 2 DL Center Frequency,MHz,,ro,uint32,4,1000,,
"Carrier Config,Amplifier1 Configuration,Channel 2 Configuration",CarrierConfig.Amplifier1Configuration.Channel2Configuration,T02.P043C,Amplifier Module 1 Channel 2 Digital Signal Bandwidth Select,MHz,,rw,uint8,1,,,0=custom;100=100MHz;10=10MHz;15=15MHz;20=20MHz;25=25MHz;30=30MHz;40=40MHz;50=50MHz;5=5MHz;60=60MHz;70=70MHz;80=80MHz;90=90MHz
